Cycle Time,Latitude, Longitude, Altitude, Pitch, Roll
1.000004,72.051285,10.316502,267.524933,39.930801,-104.717018
1.000001,71.916153,4.768487,269.620239,39.930847,-104.717499
1.000001,70.330215,3.150907,270.652618,39.930904,-104.717964
1.000033,68.857185,5.66162,271.973083,39.930965,-104.71843
1.000001,67.057465,11.922699,273.724457,39.931034,-104.71888
1.000001,65.936272,7.813519,278.529663,39.93111,-104.719299
1.000001,64.758415,4.462639,282.398987,39.931202,-104.719727
1.000001,65.122795,8.394016,281.178925,39.931297,-104.720131
1.000001,63.40181,2.753621,281.694946,39.931404,-104.720543
1.000001,63.553032,8.508284,281.868042,39.931519,-104.720947
1.000001,61.425541,9.200376,283.259613,39.931637,-104.721336
1.000001,63.66354,3.6015,285.611145,39.931774,-104.721741
1.000001,63.819923,8.321896,286.926483,39.931919,-104.722137
1.000001,64.929543,8.647029,289.900665,39.932068,-104.722527
1.000001,63.471931,3.130731,295.235413,39.932232,-104.722908
1.000001,64.512093,10.884273,295.651154,39.932404,-104.723289
1.000001,65.208145,10.896567,297.013428,39.932587,-104.723648
1.000001,65.56369,4.377123,300.292969,39.932789,-104.723999
1.000001,64.494194,3.353742,304.104767,39.932995,-104.724342
1.000001,63.619476,9.97906,301.08197,39.933205,-104.72467
1.000001,64.223015,4.875323,301.962372,39.933426,-104.724991
1.000001,63.49255,8.496772,308.719086,39.93364,-104.725288
1.000001,63.972534,8.483706,310.331451,39.933872,-104.725586
1.000001,61.566521,7.388371,312.905426,39.934109,-104.725868
1.000001,58.760815,3.881957,315.8508,39.934349,-104.726135
1.000001,60.220631,13.072451,315.783081,39.934601,-104.726395
1.000001,61.425339,11.424087,316.917267,39.93486,-104.726631
1.000001,61.211716,3.762933,321.067017,39.935127,-104.72686
1.000001,59.620735,5.877662,322.934204,39.935402,-104.727074
1.000001,61.272392,8.352927,323.77774,39.935677,-104.727272
1.000001,63.681274,1.121652,324.564789,39.935974,-104.727478
1.000001,64.958832,5.171615,325.940857,39.936272,-104.727676
1.000001,65.899818,11.394,328.338043,39.936577,-104.727867
1.000001,65.270203,12.019937,331.644104,39.936886,-104.728027
1.000001,65.513374,5.018826,336.307373,39.937199,-104.728172
1.000001,65.028389,2.226881,338.997223,39.937515,-104.72831
1.000001,64.21962,3.623171,338.570038,39.937832,-104.728432
1.000001,62.477303,13.196956,337.396423,39.938145,-104.728539
1.000001,60.65451,11.110629,340.879761,39.938446,-104.72863
1.000001,60.329613,6.467889,347.737,39.93877,-104.728706
1.000001,62.218647,12.58115,350.131989,39.939095,-104.72876
1.000001,63.638607,13.129395,351.678223,39.939419,-104.72879
1.000001,65.49099,14.127616,353.094116,39.939751,-104.72879
1.000001,65.46167,12.066686,357.106537,39.940079,-104.72876
1.000001,63.885075,5.326834,2.851522,39.940411,-104.728706
1.000001,65.093925,13.026652,5.752942,39.940739,-104.728638
1.000001,65.403343,13.887698,6.722749,39.941063,-104.728539
1.000001,63.878361,7.992438,8.241474,39.941372,-104.728424
1.000001,64.38253,8.761189,14.058901,39.941692,-104.728287
1.000001,64.931816,7.85394,15.627832,39.942001,-104.728127
1.000001,65.085358,3.29227,16.007574,39.942314,-104.727959
1.000001,67.011909,5.060718,17.779774,39.942612,-104.727776
1.000001,65.645073,9.121591,18.187496,39.942905,-104.727592
1.000001,64.053238,8.057301,21.581097,39.943192,-104.727394
1.000001,63.101971,4.475142,25.793367,39.943459,-104.727196
1.000001,61.642086,6.606311,28.525204,39.943729,-104.726974
1.000001,60.768009,9.105117,28.340187,39.943989,-104.726753
1.000001,58.584103,3.093584,31.577213,39.944237,-104.726517
1.000001,58.090553,4.300441,31.235882,39.944489,-104.726273
1.000001,58.628307,6.376017,28.733257,39.944733,-104.726021
1.000001,59.399036,6.180271,27.964882,39.944969,-104.725761
1.000001,59.020912,8.027591,32.324898,39.945202,-104.725494
1.000001,58.798584,5.914363,37.24958,39.945423,-104.72522
1.000001,57.769394,3.368258,39.337257,39.945633,-104.724945
1.000001,55.657955,7.697123,40.037987,39.945835,-104.724663
1.000001,53.678535,7.789927,42.127731,39.946018,-104.724388
1.000001,51.342613,8.66263,47.440254,39.946201,-104.724098
1.000001,51.417084,2.190753,51.045887,39.946373,-104.723793
1.000001,51.249355,8.128853,51.11578,39.946533,-104.723495
1.000001,53.113155,8.459331,49.897587,39.94669,-104.723183
1.000001,54.549294,6.795554,52.503151,39.946835,-104.722855
1.000001,55.180557,1.967429,55.04715,39.946972,-104.722527
1.000001,55.278168,4.728204,54.06572,39.947098,-104.722198
1.000001,56.846436,11.074317,53.589024,39.947227,-104.721855
1.000001,56.087074,4.627063,58.533367,39.947346,-104.721504
1.000001,57.294838,10.282257,64.701759,39.947456,-104.721146
1.000001,55.876751,8.624119,69.36599,39.947552,-104.720779
1.000001,55.645504,6.350221,70.739639,39.947632,-104.720406
1.000001,56.452042,9.107387,70.974747,39.947697,-104.720024
1.000001,56.964272,9.507365,75.227386,39.94775,-104.719635
1.000001,57.497963,5.137958,77.194206,39.947788,-104.719254
1.000001,56.510174,8.458267,78.150558,39.947815,-104.718872
1.000001,56.44281,10.249388,79.254883,39.947826,-104.718491
1.000001,53.194916,6.998099,81.583015,39.947826,-104.718124
1.000001,52.50452,2.776563,84.613487,39.947815,-104.717743
1.000001,54.427551,3.297469,87.082329,39.947803,-104.717361
1.000001,55.432129,4.727264,86.194771,39.947784,-104.71698
1.000001,54.090034,3.11604,86.291252,39.947758,-104.716599
1.000001,53.723881,2.256453,89.042633,39.947727,-104.716217
1.000001,55.020348,8.484398,88.52523,39.947693,-104.715836
